0 0   92 151 113
0 1   86 130 79
0 2   116 133 92
0 3   205 118 55
0 4   206 88 66
0 5   158 101 61
0 6   127 156 127
0 7   158 146 161
0 8   100 113 125
0 9   116 138 72
0 10   95 135 71
0 11   131 126 154
0 12   163 109 54
0 13   183 151 63
0 14   174 157 148
0 15   170 124 85
0 16   192 145 87
0 17   175 127 85
0 18   154 107 140
0 19   172 137 73
0 20   158 89 62
0 21   154 98 53
0 22   173 96 125
0 23   115 90 132
0 24   193 158 45
0 25   186 134 62
0 26   179 150 28
0 27   153 129 51
1 0   147 147 181
1 1   119 163 179
1 2   107 138 138
1 3   142 106 154
1 4   145 103 164
1 5   151 89 153
1 6   205 142 122
1 7   216 150 144
1 8   173 95 51
1 9   195 163 78
1 10   208 127 133
1 11   199 157 164
1 12   113 113 158
1 13   114 92 151
1 14   112 142 82
1 15   131 90 65
1 16   177 77 80
1 17   179 115 57
1 18   192 69 54
1 19   127 94 115
1 20   177 151 189
1 21   158 114 79
1 22   161 110 72
1 23   168 138 60
1 24   185 160 91
1 25   197 162 83
1 26   114 125 154
1 27   178 143 111
2 0   173 138 110
2 1   170 125 85
2 2   191 146 89
2 3   127 127 150
2 4   125 129 147
2 5   113 120 144
2 6   170 151 33
2 7   171 152 38
2 8   170 149 44
2 9   110 135 130
2 10   131 105 149
2 11   116 121 118
2 12   123 123 65
2 13   145 149 86
2 14   126 144 87
2 15   102 111 120
2 16   114 114 111
2 17   133 121 105
2 18   124 121 103
2 19   116 112 57
2 20   206 145 97
2 21   216 144 93
2 22   204 114 122
2 23   183 123 114
2 24   110 121 110
2 25   121 127 121
2 26   145 141 76
2 27   142 112 76
3 0   124 100 77
3 1   177 173 193
3 2   189 187 210
3 3   156 98 160
3 4   153 101 157
3 5   127 103 133
3 6   123 91 133
3 7   166 131 157
3 8   139 88 121
3 9   142 84 140
3 10   131 123 123
3 11   171 143 43
3 12   179 162 60
3 13   171 102 68
3 14   175 118 84
3 15   212 99 77
3 16   215 129 129
3 17   211 154 125
3 18   144 147 66
3 19   162 150 133
3 20   174 153 127
3 21   162 135 108
3 22   148 110 93
3 23   212 122 95
3 24   193 158 122
3 25   182 146 152
3 26   129 125 147
3 27   141 138 132
4 0   218 155 152
4 1   81 104 123
4 2   157 136 105
4 3   123 139 139
4 4   121 137 133
4 5   205 183 161
4 6   171 139 131
4 7   154 112 53
4 8   121 94 115
4 9   141 117 133
4 10   132 157 104
4 11   180 95 90
4 12   146 130 43
4 13   177 97 54
4 14   147 130 110
4 15   132 101 61
4 16   188 121 100
4 17   102 138 150
4 18   117 144 151
4 19   163 98 189
4 20   135 100 70
4 21   90 138 146
4 22   164 142 82
4 23   167 112 83
4 24   116 132 154
4 25   127 133 121
4 26   123 138 127
4 27   103 68 27
5 0   141 117 86
5 1   118 100 144
5 2   154 154 145
5 3   74 116 180
5 4   170 135 28
5 5   207 111 45
5 6   140 146 184
5 7   129 148 197
5 8   180 130 70
5 9   129 110 147
5 10   172 110 144
5 11   146 178 89
5 12   157 150 41
5 13   156 141 84
5 14   192 119 67
5 15   177 110 53
5 16   188 153 99
5 17   97 127 157
5 18   112 125 129
5 19   95 116 140
5 20   168 134 76
5 21   182 144 87
5 22   136 100 71
5 23   153 125 87
5 24   143 115 88
5 25   150 104 85
5 26   108 123 54
5 27   136 81 72
6 0   106 74 139
6 1   112 118 118
6 2   115 135 168
6 3   149 131 52
6 4   193 131 105
6 5   198 113 141
6 6   173 153 142
6 7   170 177 177
6 8   127 127 46
6 9   129 140 96
6 10   179 168 97
6 11   192 140 150
6 12   193 167 83
6 13   112 105 30
6 14   110 150 185
6 15   109 145 191
6 16   136 142 59
6 17   140 153 43
6 18   164 90 49
6 19   118 167 37
6 20   167 187 179
6 21   156 104 133
6 22   132 151 37
6 23   149 149 38
6 24   151 133 112
6 25   90 127 187
6 26   77 166 198
6 27   147 117 147
7 0   66 66 66
7 1   72 77 94
7 2   189 130 104
7 3   81 86 124
7 4   102 102 102
7 5   74 134 191
7 6   158 130 68
7 7   75 125 145
7 8   155 90 126
7 9   161 176 135
7 10   125 109 168
7 11   110 126 142
7 12   175 111 122
7 13   143 108 153
7 14   130 143 124
7 15   161 73 65
7 16   176 127 72
7 17   63 95 138
7 18   93 93 116
7 19   157 127 75
7 20   151 123 61
7 21   189 91 45
7 22   140 87 60
7 23   145 109 63
7 24   160 132 75
7 25   201 122 159
7 26   131 156 164
7 27   191 80 34
8 0   167 117 100
8 1   136 143 183
8 2   127 113 133
8 3   97 81 70
8 4   92 79 76
8 5   111 139 164
8 6   111 130 170
8 7   122 130 130
8 8   141 127 148
8 9   172 132 61
8 10   135 139 98
8 11   175 103 135
8 12   131 131 111
8 13   180 131 82
8 14   163 127 45
8 15   187 105 75
8 16   156 121 110
8 17   210 153 168
8 18   153 121 139
8 19   164 134 104
8 20   119 117 186
8 21   136 149 111
8 22   102 139 171
8 23   118 143 111
8 24   166 176 208
8 25   165 129 55
8 26   142 165 120
8 27   106 130 71
9 0   87 117 97
9 1   108 132 45
9 2   208 131 69
9 3   183 122 71
9 4   179 118 83
9 5   114 153 172
9 6   123 131 127
9 7   106 132 160
9 8   122 117 132
9 9   78 75 88
9 10   149 121 94
9 11   175 156 137
9 12   184 141 106
9 13   192 192 192
9 14   139 127 91
9 15   185 162 191
9 16   143 136 94
9 17   82 140 57
9 18   113 130 65
9 19   161 170 98
9 20   149 131 105
9 21   153 142 117
9 22   156 148 130
9 23   104 104 130
9 24   83 78 103
9 25   164 164 180
9 26   180 170 120
9 27   153 170 144
10 0   141 168 135
10 1   159 184 165
10 2   98 127 127
10 3   166 125 133
10 4   172 146 95
10 5   136 122 61
10 6   162 135 108
10 7   168 155 155
10 8   160 142 128
10 9   155 155 134
10 10   156 137 125
10 11   161 137 98
10 12   201 132 154
10 13   120 97 105
10 14   134 110 122
10 15   182 149 85
10 16   159 117 84
10 17   79 119 192
10 18   89 96 140
10 19   196 116 100
10 20   131 99 107
10 21   103 92 151
10 22   125 107 86
10 23   146 139 146
10 24   142 135 135
10 25   120 116 114
10 26   143 143 155
10 27   149 101 105
11 0   102 147 81
11 1   141 148 110
11 2   197 148 115
11 3   156 156 148
11 4   142 117 112
11 5   119 113 135
11 6   110 120 100
11 7   145 174 116
11 8   153 117 197
11 9   155 95 65
11 10   97 127 148
11 11   131 149 154
11 12   129 150 208
11 13   183 173 56
11 14   179 109 67
